[23692,31,22,231,4,145,285,0.01,-0.01]
[23702,16,-16,22,-72,1,-83,0.02,0.01]
[23712,33,30,-3,8,221,289,-0.00,-0.01]
[23722,6,11,-270,60,21,201,0.02,0.00]
[23732,4,31,37,-8,1,5,0.31,-0.20]
[23742,2,16,-8,64,49,61,0.01,-0.01]
[23752,-1,-3,10,-16,-243,1,-0.00,0.00]
[23762,6,3,-249,4,-31,-19,0.00,0.02]
[23772,19,-5,-31,-40,9,-143,0.03,0.02]
[23782,17,-16,1,28,5,37,0.01,-0.00]
[23792,-9,15,-4,16,17,-7,-0.09,-0.10]
[23802,21,-18,-15,12,-3,-107,0.83,-0.49]
[23812,2,-20,12,-52,-19,-63,-0.00,0.00]
[23822,9,-10,13,28,-15,-195,0.01,-0.00]
[23832,-11,-5,29,224,-7,33,-0.06,0.02]
[23842,6,10,220,40,21,77,-0.03,0.00]
[23852,15,-6,3,12,21,-47,0.05,0.00]
[23862,283,20,-9,-20,-87,53,-0.02,-0.01]
[23872,24,1,-28,-8,1,285,-0.02,0.01]
[23882,281,-10,229,220,-255,-59,0.03,0.01]
[23892,7,14,-276,32,49,-47,-0.62,-0.29]
[23902,1,19,231,48,1,233,-0.08,0.04]
[23912,13,7,13,16,69,-7,0.02,-0.01]
[23922,-7,13,2,20,33,105,-0.04,0.02]
[23932,6,6,-1,-4,-7,33,-0.01,0.01]
[23942,7,15,8,40,-11,45,-0.02,0.00]
[23952,9,6,12,8,5,-71,0.01,-0.01]
[23962,17,14,234,0,-55,57,-0.00,0.01]
[23972,-220,-6,14,16,-219,-179,-0.13,0.16]
[23982,1,3,28,52,-35,13,-0.05,0.00]
[23992,1,3,28,52,-35,13,-0.01,0.10]
[24003,4,-3,26,28,33,121,0.19,0.00]
[24012,-8,15,22,4,237,-11,0.00,0.01]
[24022,2,11,12,44,-11,-11,-0.00,0.00]
[24032,-6,21,8,12,33,-87,0.01,0.01]
[24042,26,20,28,16,45,277,-0.00,-0.02]
[24052,-2,25,-6,28,1,269,0.15,0.00]
[24062,18,-15,-6,-16,21,149,-0.02,-0.01]
[24072,0,-29,-1,-16,29,85,-0.02,0.00]
[24082,22,-18,9,24,5,5,-0.01,0.00]
[24092,-12,4,12,24,205,5,0.30,0.01]
[24102,11,-8,-272,-32,229,-51,0.06,-0.02]
[24112,8,-22,-15,-68,-67,61,0.04,-0.00]
[24122,1,-12,4,44,-27,217,-0.00,-0.00]
[24132,40,-27,-9,-28,-7,65,-0.06,0.02]
[24142,38,38,-16,52,-27,-219,0.03,-0.01]
[24152,54,7,19,-264,-63,-67,0.48,-0.01]
[24162,33,-12,-9,12,37,61,-0.01,-0.01]
[24172,4,9,41,8,-39,-19,-0.02,0.01]
[24182,-213,-10,19,-28,45,-39,-0.01,-0.01]
[24192,-213,-10,19,-28,45,-39,-0.02,-0.09]
[24204,-2,2,20,8,245,89,-0.00,0.00]
[24212,16,-15,-38,-48,-3,-195,-0.02,-0.00]
[24222,-8,10,-18,0,45,-103,0.01,0.01]
[24232,2,-35,27,20,-27,-3,0.03,0.00]
[24242,-3,-24,17,-52,29,-203,-0.05,0.02]
[24252,-20,-4,7,-8,37,-23,0.02,0.02]
[24262,9,-15,-267,-64,229,-211,-0.00,-0.03]
[24272,27,7,20,12,17,41,-0.02,0.00]
[24282,12,4,-1,-84,-31,-83,0.03,-0.00]
[24292,-4,-1,-30,4,-23,81,0.63,-0.03]
[24302,-222,22,-17,-16,-39,121,-0.00,0.00]
[24312,-7,2,2,32,9,-3,-0.01,-0.02]
[24322,14,-4,-276,-8,-31,-43,0.02,-0.01]
[24332,-214,-38,25,-16,17,21,-0.00,-0.00]
[24342,3,-21,11,-20,1,-51,0.01,-0.00]
[24352,55,1,-272,8,13,-207,0.22,-0.12]
[24362,13,14,30,-8,-67,101,-0.01,-0.01]
[24372,14,-2,-9,52,-51,29,-0.02,0.00]
[24382,-6,50,11,-60,-243,-39,-0.00,0.00]
[24392,-6,50,11,-60,-243,-39,0.02,-0.04]
[24402,-13,21,29,-24,-87,13,-0.02,0.00]
[24412,-4,-5,-14,32,-239,-71,-0.02,0.01]
[24422,5,-19,5,4,-31,-47,-0.01,-0.00]
[24432,-221,-12,9,-252,-7,41,-0.05,0.01]
[24442,13,-21,12,60,-27,-135,-0.02,-0.00]
[24452,-22,-20,3,-260,-31,129,0.04,0.01]
[24462,5,13,19,16,-19,-27,-0.00,-0.00]
[24472,-16,-8,15,196,-27,-83,-0.02,-0.01]
[24482,9,-12,-1,24,-255,-195,-0.03,0.01]
[24492,9,-12,-1,24,-255,-195,-0.36,0.02]
[24504,-7,-25,230,-8,29,109,-0.07,0.02]
[24512,16,18,-7,32,-19,-79,0.01,-0.01]
[24522,22,-5,2,196,-43,-11,0.02,-0.00]
[24532,-3,35,20,36,-7,-63,-0.00,0.00]
[24542,27,-11,13,28,-7,53,-0.06,-0.01]
[24552,-18,-10,-34,40,53,-39,-0.33,0.08]
[24562,4,-15,-23,4,-27,29,0.01,0.01]
[24572,-2,-11,27,36,29,-7,0.00,-0.01]
[24582,20,6,25,-48,221,-67,-0.01,0.01]
[24592,5,7,6,44,-7,-91,-0.58,-0.03]
[24603,19,-14,3,208,-27,197,-0.00,-0.00]
[24612,37,-1,15,-8,-263,89,-0.01,-0.00]
[24622,13,14,234,44,-99,-79,-0.00,-0.01]
[24632,12,42,41,52,-235,-199,0.01,0.00]
[24642,17,-14,-266,44,73,-43,0.00,-0.02]
[24652,10,21,-1,48,-19,73,0.16,-0.01]
[24662,-4,-21,17,76,-3,69,-0.01,-0.00]
[24672,10,2,4,20,201,-111,0.00,-0.00]
