gyroX,gyroY,gyroZ,accelX,accelY,accelZ,encoderR,encoderL,timestamp,timestamp_s,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,x,y,theta,linear_displacement,delta_theta_odom,delta_theta_gyro
-49.0,98.0,89.0,212.0,420.0,16972.0,-3.0,0.0,18082.0,18.082,0.0,-0.37404580152671757,0.7480916030534351,0.6793893129770993,0.12689268798828124,0.25139117431640623,10.158597644042969,0.0,0.0,0.0,0.0,0.0,0.0
-49.0,98.0,89.0,212.0,420.0,16972.0,-3.0,0.0,18092.0,18.092,0.00999999999999801,-0.37404580152671757,0.7480916030534351,0.6793893129770993,0.12689268798828124,0.25139117431640623,10.158597644042969,0.0,0.0,0.0001185758041431026,0.0,0.0,0.0001185758041431026
-62.0,79.0,50.0,232.0,452.0,17088.0,-3.0,0.0,18103.0,18.103,0.011000000000002785,-0.4732824427480916,0.6030534351145038,0.3816793893129771,0.1388636962890625,0.2705447875976562,10.228029492187499,0.0,0.0,0.00019185298647876096,0.0,0.0,7.327718233565836e-05
-100.0,116.0,82.0,300.0,480.0,16904.0,-3.0,0.0,18112.0,18.112,0.008999999999996788,-0.7633587786259542,0.8854961832061069,0.6259541984732825,0.17956512451171874,0.28730419921875,10.117896215820313,0.0,0.0,0.00029017764204909344,0.0,0.0,9.832465557033249e-05
-59.0,97.0,57.0,232.0,440.0,16948.0,-3.0,0.0,18122.0,18.122,0.010000000000001563,-0.45038167938931295,0.7404580152671756,0.4351145038167939,0.1388636962890625,0.26336218261718747,10.144232434082031,0.0,0.0,0.0003661194491969502,0.0,0.0,7.594180714785674e-05
-79.0,117.0,44.0,120.0,420.0,16908.0,-3.0,0.0,18132.0,18.132,0.010000000000001563,-0.6030534351145038,0.8931297709923665,0.33587786259541985,0.0718260498046875,0.25139117431640623,10.120290417480469,0.0,0.0,0.00042474119506547117,0.0,0.0,5.8621745868521e-05
-53.0,68.0,81.0,224.0,412.0,16944.0,-3.0,0.0,18143.0,18.143,0.010999999999999233,-0.40458015267175573,0.5190839694656488,0.6183206106870229,0.13407529296874998,0.24660277099609373,10.141838232421874,0.0,0.0,0.0005434502304491993,0.0,0.0,0.00011870903538372818
-65.0,95.0,63.0,156.0,468.0,17048.0,-3.0,0.0,18152.0,18.152,0.009000000000000341,-0.4961832061068702,0.7251908396946565,0.48091603053435117,0.09337386474609374,0.28012159423828126,10.204087475585936,0.0,0.0,0.0006189923438752163,0.0,0.0,7.554211342601697e-05
-26.0,111.0,81.0,176.0,444.0,16908.0,-3.0,0.0,18162.0,18.162,0.00999999999999801,-0.1984732824427481,0.8473282442748091,0.6183206106870229,0.105344873046875,0.2657563842773437,10.120290417480469,0.0,0.0,0.0007269096487695008,0.0,0.0,0.0001079173048942844
-61.0,110.0,47.0,192.0,432.0,16984.0,-3.0,0.0,18172.0,18.172,0.010000000000001563,-0.46564885496183206,0.8396946564885496,0.35877862595419846,0.1149216796875,0.258573779296875,10.165780249023436,0.0,0.0,0.00078952833185633,0.0,0.0,6.261868308682925e-05
-102.0,87.0,53.0,184.0,456.0,16952.0,-3.0,0.0,18182.0,18.182,0.00999999999999801,-0.7786259541984732,0.6641221374045801,0.40458015267175573,0.11013327636718749,0.27293898925781246,10.146626635742187,0.0,0.0,0.0008601408893797507,0.0,0.0,7.061255752342067e-05
-64.0,90.0,68.0,220.0,444.0,16996.0,-3.0,0.0,18192.0,18.192,0.010000000000001563,-0.48854961832061067,0.6870229007633588,0.5190839694656488,0.13168109130859373,0.2657563842773437,10.172962854003906,0.0,0.0,0.0009507381329947377,0.0,0.0,9.0597243614987e-05
-77.0,100.0,58.0,192.0,492.0,16924.0,-3.0,0.0,18202.0,18.202,0.010000000000001563,-0.5877862595419847,0.7633587786259542,0.44274809160305345,0.1149216796875,0.29448680419921874,10.129867224121092,0.0,0.0,0.0010280122525486973,0.0,0.0,7.72741195539595e-05
-67.0,101.0,45.0,204.0,440.0,17084.0,-3.0,0.0,18212.0,18.212,0.00999999999999801,-0.5114503816793893,0.7709923664122137,0.3435114503816794,0.12210428466796874,0.26336218261718747,10.225635290527343,0.0,0.0,0.0010879663108232997,0.0,0.0,5.9954058274602445e-05
-33.0,71.0,75.0,156.0,400.0,17068.0,-3.0,0.0,18222.0,18.222,0.010000000000001563,-0.25190839694656486,0.5419847328244275,0.5725190839694656,0.09337386474609374,0.239420166015625,10.216058483886718,0.0,0.0,0.001187889741281006,0.0,0.0,9.992343045770624e-05
-54.0,120.0,55.0,192.0,452.0,17016.0,-3.0,0.0,18232.0,18.232,0.00999999999999801,-0.4122137404580153,0.916030534351145,0.4198473282442748,0.1149216796875,0.2705447875976562,10.184933862304687,0.0,0.0,0.001261166923616631,0.0,0.0,7.32771823356252e-05
-101.0,142.0,65.0,28.0,360.0,16972.0,-3.0,0.0,18243.0,18.243,0.010999999999999233,-0.7709923664122137,1.083969465648855,0.4961832061068702,0.016759411621093748,0.2154781494140625,10.158597644042969,0.0,0.0,0.0013564272606529561,0.0,0.0,9.526033703632508e-05
-71.0,75.0,77.0,204.0,432.0,16980.0,-3.0,0.0,18252.0,18.252,0.009000000000000341,-0.5419847328244275,0.5725190839694656,0.5877862595419847,0.12210428466796874,0.258573779296875,10.16338604736328,0.0,0.0,0.0014487565103958658,0.0,0.0,9.232924974290964e-05
-74.0,141.0,90.0,204.0,416.0,17444.0,-3.0,0.0,18262.0,18.262,0.010000000000001563,-0.5648854961832062,1.0763358778625953,0.6870229007633588,0.12210428466796874,0.24899697265624998,10.441113439941406,0.0,0.0,0.0015686646269451132,0.0,0.0,0.0001199081165492475
-169.0,-678.0,4185.0,4396.0,-108.0,16888.0,-3.0,0.0,18272.0,18.272,0.00999999999999801,-1.2900763358778626,-5.175572519083969,31.946564885496183,2.6312276245117188,-0.06464344482421874,10.108319409179687,0.0,0.0,0.0071443920464831405,0.0,0.0,0.0055757274195380275
