timestamp,encoderR,encoderL
24242974,-0.0,0.01
24252948,0.01,0.01
24263011,0.0,0.01
24272916,0.01,0.0
24282954,-0.01,-0.01
24292963,0.0,0.02
24303000,0.04,-0.0
24312891,0.01,0.02
24323036,0.02,0.03
24332939,0.0,0.0
24342890,0.03,0.0
24352959,0.01,0.0
24362914,0.01,0.01
24372957,0.02,-0.0
24382952,0.01,0.01
24392904,0.01,0.0
24402906,0.02,-0.01
24412914,0.03,-0.0
24422937,4.23,-0.82
24433039,10.97,-7.71
24442972,18.23,-20.43
24452905,26.6,-19.96
24462917,33.77,-12.52
24472894,38.78,-5.24
24482944,46.2,9.7
24493015,55.36,29.62
24502922,67.7,52.17
24513009,87.12,74.14
24522956,108.26,100.01
24532896,134.86,126.69
24542967,166.19,150.94
24552999,196.33,175.37
24562912,226.99,278.85
24572909,262.35,303.98
24582904,293.26,334.19
24592903,325.14,363.92
24602904,362.78,389.58
24612927,398.78,417.73
24623063,437.45,448.71
24632973,472.06,479.01
24642903,517.65,508.13
24652952,554.6,532.52
24662964,596.38,638.85
24672890,633.26,669.48
24682996,674.69,699.55
24692924,712.93,731.01
24702946,754.46,761.92
24712921,791.59,791.79
24722903,827.59,827.38
24732943,875.87,857.4
24742913,909.82,885.45
24753644,961.73,991.42
24762890,996.53,1019.57
24772909,1039.7,1052.27
24782907,1077.34,1084.41
24792921,1120.4,1112.64
24803010,1156.85,1144.96
24812903,1197.15,1177.5
24822970,1241.16,1212.74
24833033,1282.95,1242.63
24843067,1321.13,1349.97
24852949,1364.04,1379.78
24862890,1404.42,1414.19
24872953,1448.21,1444.68
24882931,1487.5,1475.22
24892983,1528.84,1506.76
24902901,1565.96,1539.03
24912942,1614.87,1573.21
24922946,1653.08,1600.62
24932904,1692.39,1708.46
24942936,1735.17,1741.14
24952992,1775.58,1773.43
24963303,1819.0,1807.27
24972933,1856.9,1839.48
24982924,1897.3,1871.4
24992938,1935.64,1908.31
25002927,1985.55,1938.82
25012974,2026.56,1966.68
25022966,2072.31,2072.93
25033069,2111.32,2101.14
25042987,2155.0,2133.22
25052930,2193.5,2164.92
25064149,2230.8,2192.24
25072957,2269.56,2223.69
25082908,2315.99,2258.86
25093038,2352.93,2291.42
25102912,2394.44,2321.29
25112901,2432.89,2426.33
25122937,2471.4,2459.16
25132939,2516.39,2494.66
25142970,2556.87,2525.19
25152929,2600.21,2555.49
25162932,2638.37,2587.62
25172906,2689.65,2619.69
25182953,2729.12,2653.29
25192909,2773.85,2679.76
25202963,2812.73,2787.15
25212931,2857.54,2819.7
25223021,2898.38,2851.5
25232950,2943.11,2885.28
25242890,2980.75,2916.66
25252890,3031.72,2947.06
25264077,3072.65,2980.2
25272899,3117.94,3014.92
25282960,3157.37,3044.31
25292906,3201.4,3151.9
25302982,3241.04,3182.45
25312918,3284.04,3218.44
25322928,3320.81,3252.15
25332948,3356.21,3282.93
25342907,3401.41,3319.66
25352903,3436.47,3357.01
25363024,3474.28,3393.71
25372907,3507.15,3507.29
25382921,3541.88,3544.66
25392957,3572.8,3589.73
25402931,3606.13,3630.39
25412963,3636.09,3669.07
25422904,3667.86,3716.77
25432910,3694.54,3754.99
25443022,3720.53,3873.9
25452909,3756.27,3918.49
25462929,3781.65,3860.94
25472957,3809.28,3860.94
25483038,3834.15,3860.94
25493063,3859.66,3860.94
25502900,3877.28,3893.16
25512915,3890.51,3956.88
25522931,3908.8,4010.12
25532919,3922.71,4076.47
25542952,3930.76,4127.6
25553111,3938.62,4260.26
25562900,3962.94,4313.18
25572988,3990.3,4362.0
25582902,4011.3,4416.09
25592908,4034.51,4465.08
25602953,4055.49,4587.9
25612908,4077.07,4634.0
25622894,4110.37,4683.96
25632914,4136.72,4729.51
25642967,4165.24,4775.81
25652917,4189.38,4824.89
25662929,4216.01,4940.94
25672904,4240.26,4985.75
25682939,4268.74,5029.78
25692914,4296.28,5071.62
25703055,4328.84,5114.48
25712933,4361.29,5157.48
25722926,4390.55,5196.89
