timestamp,encoderR,encoderL
23972961,0.01,0.01
23982928,0.0,0.01
23992902,0.0,0.01
24002946,0.0,0.02
24012902,0.0,0.0
24022930,0.01,0.0
24033101,0.0,0.02
24042927,0.0,0.02
24052962,0.01,0.02
24063039,0.0,0.03
24072897,0.0,-0.03
24082919,0.01,-0.02
24092932,0.0,-0.01
24102916,0.0,-0.01
24112958,0.0,0.0
24122976,0.0,0.04
24132949,0.01,0.01
24143006,0.0,0.0
24152902,0.0,0.05
24162973,2.59,1.37
24173247,2.94,1.93
24182948,3.03,2.11
24192951,8.38,4.88
24202966,12.53,9.36
24212936,12.61,15.32
24222919,38.53,23.1
24232909,74.97,30.59
24242967,133.84,118.75
24252945,190.31,131.96
24262969,241.33,145.16
24272910,282.06,158.64
24283003,334.2,180.3
24292915,365.7,202.04
24302947,406.74,223.7
24313050,441.53,244.18
24323015,481.48,268.04
24332945,515.85,294.92
24342914,557.56,322.24
24352943,601.23,351.74
24362930,649.83,378.19
24372960,691.44,480.96
24382897,741.67,509.77
24392942,793.89,539.75
24402945,840.44,572.21
24412911,882.54,602.45
24422964,926.85,631.89
24432967,967.77,668.9
24442898,1014.9,707.84
24452908,1056.27,737.46
24462913,1097.53,847.63
24472913,1152.32,880.08
24482971,1200.53,917.78
24492954,1243.11,952.08
24502929,1286.28,982.68
24513041,1334.71,1019.15
24522958,1377.96,1058.73
24532994,1424.13,1091.33
24542915,1462.19,1202.67
24552919,1521.94,1236.65
24562902,1568.47,1277.09
24572910,1621.15,1313.73
24582975,1666.73,1343.16
24592903,1730.62,1384.11
24602948,1783.44,1422.04
24612897,1858.57,1451.0
24622931,1928.32,1557.65
24632918,1992.37,1586.95
24642925,2070.41,1616.38
24652990,2142.32,1646.57
24662912,2241.0,1671.25
24672901,2344.26,1697.46
24682940,2447.16,1722.97
24692910,2533.56,1745.79
24702918,2642.86,1769.26
24712962,2728.59,1787.33
24722924,2816.89,1803.18
24732917,2876.46,1815.1
24742916,2938.46,1827.94
24752927,2976.16,1923.36
24762927,3012.52,1942.97
24772901,3044.46,1969.5
24782948,3083.53,1998.46
24792962,3120.11,2023.55
24802916,3157.23,2051.19
24812939,3197.89,2081.87
24822910,3234.31,2114.03
24832970,3284.97,2150.12
24842936,3328.23,2181.04
24852981,3378.79,2287.69
24863097,3425.24,2322.98
24872936,3475.68,2358.3
24882917,3525.07,2394.41
24892946,3583.6,2429.35
24902974,3641.03,2463.04
24912940,3691.6,2499.47
24922941,3734.76,2530.76
24933049,3780.51,2637.3
24942920,3822.82,2669.49
24952961,3874.03,2703.54
24962900,3921.68,2739.99
24972997,3976.32,2773.68
24982916,4034.94,2806.61
24992941,4095.9,2845.8
25002958,4150.69,2881.51
25012902,4203.28,2908.86
25022898,4249.21,3019.32
25032949,4296.7,3052.4
25043008,4340.29,3090.63
25053019,4395.8,3125.36
25062934,4442.6,3157.6
25072928,4493.6,3195.91
25082937,4541.03,3233.72
25092962,4590.83,3263.49
25102996,4637.1,3375.81
25112966,4686.82,3411.63
25123001,4742.74,3451.8
25133008,4801.93,3487.62
25142993,4857.35,3519.04
25152973,4939.69,3555.04
25162945,5024.56,3587.41
25172942,5102.66,3610.37
25182963,5179.05,3632.18
25192933,5245.62,3732.65
25202928,5318.0,3755.34
25213035,5376.51,3783.75
25222909,5447.22,3813.67
25232909,5507.01,3841.16
25242927,5574.39,3871.7
25252986,5652.0,3905.49
25262899,5723.38,3936.77
25272950,5807.72,3965.71
25282921,5878.86,3988.15
25292974,5958.04,4087.22
25302990,6035.99,4110.67
25312912,6117.5,4132.89
25322946,6205.57,4158.54
25332918,6278.95,4182.45
25342935,6363.9,4202.13
25352934,6439.0,4223.18
25362944,6524.98,4244.55
